"X","CALVEG.Code","CALVEG.Description","CALVEG.Zone","CWHR.Type.Code","CWHR.Type.Description","CWHR.Lifeform.Code","CWHR.Lifeform.Description","GROWTH_FORM","CHAPorPINE","Raster_VALUE"
19,"BB","Bitterbrush",10,"BBR","Bitterbrush","WHR_SHB","Shrub","Shrub",NA,18
20,"BC","Saltbush",10,"ASC","Alkali Desert Scrub","WHR_SHB","Shrub","Shrub",NA,33
21,"BG","Greasewood",10,"ASC","Alkali Desert Scrub","WHR_SHB","Shrub","Shrub",NA,33
22,"BI","Littleleaf Mountain Mahogany",10,"SGB","Sagebrush","WHR_SHB","Shrub","Shrub",NA,31
23,"BL","Low Sagebrush",10,"LSG","Low Sage","WHR_SHB","Shrub","Shrub",NA,34
24,"BM","Curlleaf Mountain Mahogany",10,"SGB","Sagebrush","WHR_SHB","Shrub","Shrub",NA,31
25,"BP","Bristlecone Pine",10,"MHC","Montane Hardwood-Conifer","WHR_MIX","Mixed conifer and hardwood forest/woodland","Tree",NA,14
26,"BP","Bristlecone Pine",10,"SCN","Subalpine Conifer","WHR_CON","Conifer forest/woodland","Tree",NA,30
27,"BQ","Great Basin Mixed Scrub",10,"SGB","Sagebrush","WHR_SHB","Shrub","Shrub",NA,31
28,"BR","Rabbitbrush",10,"SGB","Sagebrush","WHR_SHB","Shrub","Shrub",NA,31
29,"BS","Basin Sagebrush",10,"SGB","Sagebrush","WHR_SHB","Shrub","Shrub",NA,31
30,"BT","Big Tree (Giant Sequoia)",10,"MHC","Montane Hardwood-Conifer","WHR_MIX","Mixed conifer and hardwood forest/woodland","Tree",NA,14
31,"BT","Big Tree (Giant Sequoia)",10,"SMC","Sierran Mixed Conifer","WHR_CON","Conifer forest/woodland","Tree",NA,10
32,"BX","Great Basin - Mixed Chaparral Transition",10,"MCP","Montane Chaparral","WHR_SHB","Shrub","Shrub","All Chaparral",4
33,"BZ","Great Basin - Desert Mixed Scrub",10,"DSC","Desert Scrub","WHR_SHB","Shrub","Shrub",NA,23
34,"C1","Ultramafic Mixed Shrub",10,"MCH","Mixed Chaparral","WHR_SHB","Shrub","Shrub","All Chaparral",7
35,"CA","Chamise",10,"CRC","Chamise-Redshank Chaparral","WHR_SHB","Shrub","Shrub","All Chaparral",5
36,"CB","Salal - California Huckleberry",10,"CSC","Coastal Scrub","WHR_SHB","Shrub",NA,NA,NA
37,"CC","Ceanothus Mixed Chaparral",10,"MCH","Mixed Chaparral","WHR_SHB","Shrub","Shrub","All Chaparral",7
38,"CD","Southern Mixed Chaparral",10,"MCH","Mixed Chaparral","WHR_SHB","Shrub","Shrub","All Chaparral",7
39,"CE","Mountain Misery",10,"MCP","Montane Chaparral","WHR_SHB","Shrub","Shrub","All Chaparral",4
40,"CG","Greenleaf Manzanita",10,"MCP","Montane Chaparral","WHR_SHB","Shrub","Shrub","All Chaparral",4
41,"CH","Huckleberry Oak",10,"MCP","Montane Chaparral","WHR_SHB","Shrub","Shrub","All Chaparral",4
42,"CI","Deerbrush",10,"MCP","Montane Chaparral","WHR_SHB","Shrub","Shrub","All Chaparral",4
43,"CJ","Brewer Oak",10,"MCP","Montane Chaparral","WHR_SHB","Shrub","Shrub","All Chaparral",4
44,"CK","Coyote Brush",10,"CSC","Coastal Scrub","WHR_SHB","Shrub",NA,NA,NA
45,"CL","Wedgeleaf Ceanothus",10,"MCH","Mixed Chaparral","WHR_SHB","Shrub","Shrub","All Chaparral",7
46,"CM","Upper Montane Mixed Shrub",10,"MCP","Montane Chaparral","WHR_SHB","Shrub","Shrub","All Chaparral",4
47,"CN","Pinemat Manzanita",10,"MCP","Montane Chaparral","WHR_SHB","Shrub","Shrub","All Chaparral",4
48,"CP","Bush Chinquapin",10,"MCP","Montane Chaparral","WHR_SHB","Shrub","Shrub","All Chaparral",4
49,"CQ","Lower Montane Mixed Chaparral",10,"MCH","Mixed Chaparral","WHR_SHB","Shrub","Shrub","All Chaparral",7
50,"CR","Red Shanks Chaparral",10,"CRC","Chamise-Redshank Chaparral","WHR_SHB","Shrub","Shrub","All Chaparral",5
51,"CS","Scrub Oak",10,"MCH","Mixed Chaparral","WHR_SHB","Shrub","Shrub","All Chaparral",7
52,"CT","Tucker / Muller Scrub Oak",10,"MCH","Mixed Chaparral","WHR_SHB","Shrub","Shrub","All Chaparral",7
53,"CV","Snowbrush",10,"MCP","Montane Chaparral","WHR_SHB","Shrub","Shrub","All Chaparral",4
54,"CW","Whiteleaf Manzanita",10,"MCH","Mixed Chaparral","WHR_SHB","Shrub","Shrub","All Chaparral",7
55,"CX","Upper Montane Mixed Chaparral",10,"MCP","Montane Chaparral","WHR_SHB","Shrub","Shrub","All Chaparral",4
56,"CY","Mountain Whitethorn",10,"MCP","Montane Chaparral","WHR_SHB","Shrub","Shrub","All Chaparral",4
57,"CZ","Semi-Desert Chaparral",10,"MCH","Mixed Chaparral","WHR_SHB","Shrub","Shrub","All Chaparral",7
58,"DA","Blackbush",10,"DSC","Desert Scrub","WHR_SHB","Shrub","Shrub",NA,23
59,"DB","Desert Buckwheat",10,"DSC","Desert Scrub","WHR_SHB","Shrub","Shrub",NA,23
60,"DC","Cholla",10,"DSS","Desert Succulent Scrub","WHR_SHB","Shrub",NA,NA,NA
61,"DD","Croton",10,"DSC","Desert Scrub","WHR_SHB","Shrub","Shrub",NA,23
62,"DE","Arrowweed",10,"DSW","Desert Wash","WHR_SHB","Shrub",NA,NA,NA
63,"DF","Pacific Douglas-Fir",1,"DFR","Douglas Fir","WHR_CON","Conifer forest/woodland","Tree",NA,13
64,"DF","Pacific Douglas-Fir",10,"MHC","Montane Hardwood-Conifer","WHR_MIX","Mixed conifer and hardwood forest/woodland","Tree",NA,14
65,"DF","Pacific Douglas-Fir",2,"SMC","Sierran Mixed Conifer","WHR_CON","Conifer forest/woodland","Tree",NA,10
66,"DF","Pacific Douglas-Fir",3,"SMC","Sierran Mixed Conifer","WHR_CON","Conifer forest/woodland","Tree",NA,10
67,"DF","Pacific Douglas-Fir",4,"SMC","Sierran Mixed Conifer","WHR_CON","Conifer forest/woodland","Tree",NA,10
68,"DF","Pacific Douglas-Fir",5,"SMC","Sierran Mixed Conifer","WHR_CON","Conifer forest/woodland","Tree",NA,10
69,"DF","Pacific Douglas-Fir",6,"RDW","Redwood","WHR_CON","Conifer forest/woodland",NA,NA,NA
70,"DF","Pacific Douglas-Fir",7,"SMC","Sierran Mixed Conifer","WHR_CON","Conifer forest/woodland","Tree",NA,10
71,"DF","Pacific Douglas-Fir",8,"SMC","Sierran Mixed Conifer","WHR_CON","Conifer forest/woodland","Tree",NA,10
72,"DF","Pacific Douglas-Fir",9,"SMC","Sierran Mixed Conifer","WHR_CON","Conifer forest/woodland","Tree",NA,10
73,"DG","Douglas-Fir - Grand Fir",10,"MHC","Montane Hardwood-Conifer","WHR_MIX","Mixed conifer and hardwood forest/woodland","Tree",NA,14
74,"DG","Douglas-Fir - Grand Fir",10,"RDW","Redwood","WHR_CON","Conifer forest/woodland",NA,NA,NA
75,"DI","Indigo Bush",10,"DSC","Desert Scrub","WHR_SHB","Shrub","Shrub",NA,23
76,"DJ","Spiny Menodora",10,"DSC","Desert Scrub","WHR_SHB","Shrub","Shrub",NA,23
77,"DL","Creosote Bush",10,"DSC","Desert Scrub","WHR_SHB","Shrub","Shrub",NA,23
78,"DM","Bigcone Douglas-Fir",10,"MHC","Montane Hardwood-Conifer","WHR_MIX","Mixed conifer and hardwood forest/woodland","Tree",NA,14
79,"DM","Bigcone Douglas-Fir",10,"SMC","Sierran Mixed Conifer","WHR_CON","Conifer forest/woodland","Tree",NA,10
80,"DO","Ocotillo",10,"DSS","Desert Succulent Scrub","WHR_SHB","Shrub",NA,NA,NA
81,"DP","Douglas-Fir - Ponderosa Pine",10,"MHC","Montane Hardwood-Conifer","WHR_MIX","Mixed conifer and hardwood forest/woodland","Tree",NA,14
82,"DP","Douglas-Fir - Ponderosa Pine",10,"SMC","Sierran Mixed Conifer","WHR_CON","Conifer forest/woodland","Tree",NA,10
83,"DS","Shadscale",10,"ASC","Alkali Desert Scrub","WHR_SHB","Shrub","Shrub",NA,33
84,"DU","Dune",10,"BAR","Barren","WHR_NFO","Non and Sparsely Vegetated - Urban, Agriculture or Aquatic",NA,NA,12
85,"DV","Desert Mixed Succulent Shrub",10,"DSS","Desert Succulent Scrub","WHR_SHB","Shrub",NA,NA,NA
86,"DW","Douglas-Fir - White Fir",10,"MHC","Montane Hardwood-Conifer","WHR_MIX","Mixed conifer and hardwood forest/woodland","Tree",NA,14
87,"DW","Douglas-Fir - White Fir",10,"SMC","Sierran Mixed Conifer","WHR_CON","Conifer forest/woodland","Tree",NA,10
88,"DX","Desert Mixed Shrub",10,"DSC","Desert Scrub","WHR_SHB","Shrub","Shrub",NA,23
89,"EA","Engelmann Spruce",10,"KMC","Klamath Mixed Conifer","WHR_CON","Conifer forest/woodland",NA,NA,NA
90,"EA","Engelmann Spruce",10,"MHC","Montane Hardwood-Conifer","WHR_MIX","Mixed conifer and hardwood forest/woodland","Tree",NA,14
91,"EP","Eastside Pine",10,"EPN","Eastside Pine","WHR_CON","Conifer forest/woodland","Tree","Low Elevation Conifers",28
92,"EP","Eastside Pine",10,"MHC","Montane Hardwood-Conifer","WHR_MIX","Mixed conifer and hardwood forest/woodland","Tree",NA,14
93,"ET","Elephant Tree",10,"DSC","Desert Scrub","WHR_SHB","Shrub","Shrub",NA,23
94,"EX","Coastal Mixed Hardwood",10,"COW","Coastal Oak Woodland","WHR_HDW","Hardwood forest/woodland",NA,NA,NA
95,"FD","Ephedra",10,"DSC","Desert Scrub","WHR_SHB","Shrub","Shrub",NA,23
96,"FM","Curlleaf Mountain Mahogany (tree)",10,"SGB","Sagebrush","WHR_HDW","Hardwood forest/woodland","Shrub",NA,31
97,"FO","Water Birch",10,"DRI","Desert Riparian","WHR_HDW","Hardwood forest/woodland",NA,NA,NA
98,"FP","Foxtail Pine",10,"MHC","Montane Hardwood-Conifer","WHR_MIX","Mixed conifer and hardwood forest/woodland","Tree",NA,14
99,"FP","Foxtail Pine",10,"SCN","Subalpine Conifer","WHR_CON","Conifer forest/woodland","Tree",NA,30
100,"GF","Grand Fir",10,"MHC","Montane Hardwood-Conifer","WHR_MIX","Mixed conifer and hardwood forest/woodland","Tree",NA,14
101,"GF","Grand Fir",10,"RDW","Redwood","WHR_CON","Conifer forest/woodland",NA,NA,NA
102,"HA","Alkaline Mixed Grasses",10,"ASC","Alkali Desert Scrub","WHR_HEB","Herbaceous","Shrub",NA,33
103,"HC","Pickleweed - Cordgrass",10,"SEW","Saline Emergent Wetland","WHR_HEB","Herbaceous",NA,NA,42
104,"HG","Annual Grasses and Forbs",10,"AGS","Annual Grassland","WHR_HEB","Herbaceous",NA,NA,2
105,"HJ","Wet Meadows",10,"WTM","Wet Meadow","WHR_HEB","Herbaceous",NA,NA,17
106,"HM","Perennial Grasses and Forbs",10,"PGS","Perennial Grassland","WHR_HEB","Herbaceous",NA,NA,32
107,"HS","Cheesebush",10,"DSC","Desert Scrub","WHR_SHB","Shrub","Shrub",NA,23
108,"HT","Tule - Cattail",10,"FEW","Fresh Emergent Wetland","WHR_HEB","Herbaceous",NA,NA,41
109,"IA","Non-Native/Invasive Grass",10,"FEW","Fresh Emergent Wetland","WHR_HEB","Herbaceous",NA,NA,41
110,"IB","Urban-related Bare Soil",10,"BAR","Barren","WHR_NFO","Non and Sparsely Vegetated - Urban, Agriculture or Aquatic",NA,NA,12
111,"IC","Non-Native/Ornamental Conifer",10,"URB","Urban","WHR_CON","Conifer forest/woodland",NA,NA,19
112,"IF","Non-Native/Invasive Forb",10,"URB","Urban","WHR_HEB","Herbaceous",NA,NA,19
113,"IG","Non-Native/Ornamental Grass",10,"URB","Urban","WHR_HEB","Herbaceous",NA,NA,19
114,"IH","Non-Native/Ornamental Hardwood",10,"URB","Urban","WHR_HDW","Hardwood forest/woodland",NA,NA,19
115,"IM","Non-Native/Ornamental Conifer/Hardwood",10,"URB","Urban","WHR_MIX","Mixed conifer and hardwood forest/woodland",NA,NA,19
116,"IS","Non-Native/Ornamental Shrub",10,"URB","Urban","WHR_SHB","Shrub",NA,NA,19
117,"IW","Urban or Industrial Impoundment",10,"LAC","Lacustrine","WHR_NFO","Non and Sparsely Vegetated - Urban, Agriculture or Aquatic",NA,NA,22
118,"JC","California Juniper (shrub)",10,"JUN","Juniper","WHR_SHB","Shrub",NA,NA,35
119,"JJ","Yellow Pine - Western Juniper",10,"EPN","Eastside Pine","WHR_CON","Conifer forest/woodland","Tree","Low Elevation Conifers",28
120,"JJ","Yellow Pine - Western Juniper",10,"MHC","Montane Hardwood-Conifer","WHR_MIX","Mixed conifer and hardwood forest/woodland","Tree",NA,14
121,"JP","Jeffrey Pine",10,"JPN","Jeffrey Pine","WHR_CON","Conifer forest/woodland","Tree","Low Elevation Conifers",24
122,"JP","Jeffrey Pine",10,"MHC","Montane Hardwood-Conifer","WHR_MIX","Mixed conifer and hardwood forest/woodland","Tree",NA,14
123,"JT","California Juniper (tree)",10,"JUN","Juniper","WHR_CON","Conifer forest/woodland",NA,NA,35
124,"JT","California Juniper (tree)",10,"MHC","Montane Hardwood-Conifer","WHR_MIX","Mixed conifer and hardwood forest/woodland","Tree",NA,14
125,"JU","Utah Juniper",10,"JUN","Juniper","WHR_CON","Conifer forest/woodland",NA,NA,35
126,"JU","Utah Juniper",10,"MHC","Montane Hardwood-Conifer","WHR_MIX","Mixed conifer and hardwood forest/woodland","Tree",NA,14
127,"KL","Winter Fat",10,"ASC","Alkali Desert Scrub","WHR_SHB","Shrub","Shrub",NA,33
128,"KP","Knobcone Pine",10,"CPC","Closed-Cone Pine-Cypress","WHR_CON","Conifer forest/woodland","Tree",NA,9
129,"KP","Knobcone Pine",10,"MHC","Montane Hardwood-Conifer","WHR_MIX","Mixed conifer and hardwood forest/woodland","Tree",NA,14
130,"KQ","Aspen (shrub)",10,"ASP","Aspen","WHR_SHB","Shrub",NA,NA,27
131,"LP","Lodgepole Pine",10,"LPN","Lodgepole Pine","WHR_CON","Conifer forest/woodland","Tree",NA,25
132,"LP","Lodgepole Pine",10,"MHC","Montane Hardwood-Conifer","WHR_MIX","Mixed conifer and hardwood forest/woodland","Tree",NA,14
133,"LS","Scalebroom",10,"DSW","Desert Wash","WHR_SHB","Shrub",NA,NA,NA
134,"MB","Mixed Conifer - Giant Sequoia",10,"MHC","Montane Hardwood-Conifer","WHR_MIX","Mixed conifer and hardwood forest/woodland","Tree",NA,14
135,"MB","Mixed Conifer - Giant Sequoia",10,"SMC","Sierran Mixed Conifer","WHR_CON","Conifer forest/woodland","Tree",NA,10
136,"MC","Cuyamaca Cypress",10,"CPC","Closed-Cone Pine-Cypress","WHR_CON","Conifer forest/woodland","Tree",NA,9
137,"MC","Cuyamaca Cypress",10,"MHC","Montane Hardwood-Conifer","WHR_MIX","Mixed conifer and hardwood forest/woodland","Tree",NA,14
138,"MD","Incense Cedar",10,"MHC","Montane Hardwood-Conifer","WHR_MIX","Mixed conifer and hardwood forest/woodland","Tree",NA,14
139,"MD","Incense Cedar",10,"SMC","Sierran Mixed Conifer","WHR_CON","Conifer forest/woodland","Tree",NA,10
140,"MF","Mixed Conifer - Fir",10,"MHC","Montane Hardwood-Conifer","WHR_MIX","Mixed conifer and hardwood forest/woodland","Tree",NA,14
141,"MF","Mixed Conifer - Fir",10,"SMC","Sierran Mixed Conifer","WHR_CON","Conifer forest/woodland","Tree",NA,10
142,"MG","Gowen Cypress",10,"CPC","Closed-Cone Pine-Cypress","WHR_CON","Conifer forest/woodland","Tree",NA,9
143,"MG","Gowen Cypress",10,"MHC","Montane Hardwood-Conifer","WHR_MIX","Mixed conifer and hardwood forest/woodland","Tree",NA,14
144,"MH","Mountain Hemlock",10,"MHC","Montane Hardwood-Conifer","WHR_MIX","Mixed conifer and hardwood forest/woodland","Tree",NA,14
145,"MH","Mountain Hemlock",10,"SCN","Subalpine Conifer","WHR_CON","Conifer forest/woodland","Tree",NA,30
146,"MI","Piute Cypress",10,"CPC","Closed-Cone Pine-Cypress","WHR_CON","Conifer forest/woodland","Tree",NA,9
147,"MI","Piute Cypress",10,"MHC","Montane Hardwood-Conifer","WHR_MIX","Mixed conifer and hardwood forest/woodland","Tree",NA,14
148,"MK","Klamath Mixed Conifer",10,"KMC","Klamath Mixed Conifer","WHR_CON","Conifer forest/woodland",NA,NA,NA
149,"MK","Klamath Mixed Conifer",10,"MHC","Montane Hardwood-Conifer","WHR_MIX","Mixed conifer and hardwood forest/woodland","Tree",NA,14
150,"ML","Baccharis (Riparian)",1,"MRI","Montane Riparian","WHR_SHB","Shrub",NA,NA,21
151,"ML","Baccharis (Riparian)",2,"MRI","Montane Riparian","WHR_SHB","Shrub",NA,NA,21
152,"ML","Baccharis (Riparian)",3,"MRI","Montane Riparian","WHR_SHB","Shrub",NA,NA,21
153,"ML","Baccharis (Riparian)",4,"MRI","Montane Riparian","WHR_SHB","Shrub",NA,NA,21
154,"ML","Baccharis (Riparian)",5,"MRI","Montane Riparian","WHR_SHB","Shrub",NA,NA,21
155,"ML","Baccharis (Riparian)",6,"VRI","Valley Foothill Riparian","WHR_SHB","Shrub",NA,NA,38
156,"ML","Baccharis (Riparian)",7,"VRI","Valley Foothill Riparian","WHR_SHB","Shrub",NA,NA,38
157,"ML","Baccharis (Riparian)",8,"DRI","Desert Riparian","WHR_SHB","Shrub",NA,NA,NA
158,"ML","Baccharis (Riparian)",9,"DRI","Desert Riparian","WHR_SHB","Shrub",NA,NA,NA
159,"MM","Monterey Cypress",10,"CPC","Closed-Cone Pine-Cypress","WHR_CON","Conifer forest/woodland","Tree",NA,9
160,"MM","Monterey Cypress",10,"MHC","Montane Hardwood-Conifer","WHR_MIX","Mixed conifer and hardwood forest/woodland","Tree",NA,14
161,"MN","McNab Cypress",10,"CPC","Closed-Cone Pine-Cypress","WHR_CON","Conifer forest/woodland","Tree",NA,9
162,"MN","McNab Cypress",10,"MHC","Montane Hardwood-Conifer","WHR_MIX","Mixed conifer and hardwood forest/woodland","Tree",NA,14
163,"MO","Baker Cypress",10,"CPC","Closed-Cone Pine-Cypress","WHR_CON","Conifer forest/woodland","Tree",NA,9
164,"MO","Baker Cypress",10,"MHC","Montane Hardwood-Conifer","WHR_MIX","Mixed conifer and hardwood forest/woodland","Tree",NA,14
